time,Bx,By,Bz,BT
0.556315,0.64,36.11,-22.69,42.65
0.558546,0.69,35.94,-22.91,42.63
0.568470,0.69,35.91,-22.97,42.63
0.577952,0.53,35.78,-23.01,42.54
0.588394,0.36,35.64,-22.99,42.41
0.599722,0.64,35.91,-23.16,42.73
0.608168,0.32,36.00,-22.95,42.69
0.617595,-0.13,36.11,-22.86,42.74
0.628186,-0.30,36.17,-22.95,42.84
0.638153,-0.54,36.17,-22.78,42.75
0.649516,-0.39,36.24,-23.01,42.93
0.657766,-0.21,36.24,-23.16,43.01
0.667686,-0.04,36.36,-23.12,43.08
0.678136,-0.06,36.19,-23.01,42.88
0.693920,0.17,36.08,-23.10,42.84
0.700090,0.41,36.13,-22.99,42.83
0.708749,0.71,35.91,-23.10,42.70
0.718586,0.71,36.00,-22.99,42.72
0.728740,0.96,36.17,-23.12,42.94
0.738620,0.96,36.21,-22.93,42.87
0.751028,0.96,36.21,-22.97,42.89
0.758640,1.07,36.11,-23.23,42.95
0.767721,0.81,36.17,-23.27,43.01
0.778299,0.64,36.19,-23.25,43.02
0.793808,0.47,36.36,-22.99,43.02
0.799316,0.54,36.47,-23.14,43.19
0.808154,0.51,36.34,-23.27,43.15
0.817801,0.28,36.54,-23.25,43.31
0.827980,0.24,36.68,-23.29,43.44
0.844886,0.06,36.66,-22.93,43.24
0.854530,0.32,36.58,-22.95,43.19
0.857710,0.41,36.58,-23.23,43.34
0.867929,0.30,36.49,-23.25,43.27
0.879036,0.38,36.38,-23.29,43.19
0.888137,0.15,36.34,-22.82,42.91
0.898571,0.30,36.43,-22.84,43.00
0.908021,0.23,36.45,-22.58,42.88
0.918357,0.32,36.51,-22.20,42.73
0.928144,0.09,36.69,-22.05,42.81
0.937978,0.26,36.58,-21.62,42.49
0.948645,0.17,36.49,-21.51,42.35
0.958959,0.09,36.39,-21.79,42.42
0.968868,0.34,36.47,-21.98,42.58
0.979103,0.30,36.26,-22.18,42.51
0.990894,0.36,36.06,-22.26,42.37
1.004972,0.39,36.17,-22.59,42.65
1.008823,0.73,36.19,-22.78,42.77
1.019392,0.53,36.23,-22.84,42.83
1.029266,0.71,36.24,-22.84,42.84
1.037556,0.83,36.30,-22.71,42.82
1.047835,0.77,36.36,-22.74,42.89
1.058250,1.01,36.39,-22.63,42.87
1.068112,1.20,36.54,-22.74,43.06
1.078185,1.12,36.56,-22.69,43.04
1.089377,0.98,36.43,-22.71,42.94
1.098461,0.81,36.53,-22.63,42.98
1.108572,0.88,36.79,-22.74,43.26
1.119934,0.90,36.75,-22.48,43.09
1.128265,0.69,36.79,-22.50,43.13
1.138406,0.64,36.60,-22.43,42.93
1.149130,0.56,36.62,-22.52,42.99
1.160010,0.54,36.60,-22.48,42.96
1.171800,0.79,36.56,-22.16,42.76
1.178332,0.96,36.30,-22.46,42.70
1.188415,1.01,36.15,-22.35,42.51
1.198240,0.99,36.15,-22.44,42.56
1.208607,1.26,36.21,-22.61,42.71
1.219279,1.20,36.34,-22.71,42.87
1.228032,1.11,36.17,-22.76,42.75
1.238012,1.29,36.06,-23.08,42.83
1.247959,1.16,36.26,-23.12,43.02
1.258604,1.29,36.45,-22.97,43.10
1.269491,1.20,36.41,-22.88,43.02
1.278192,1.28,36.43,-22.86,43.03
1.292844,1.31,36.34,-22.71,42.87
1.304523,1.50,36.21,-22.54,42.67
1.308584,1.71,36.32,-22.41,42.71
1.318489,1.54,36.36,-22.05,42.55
1.329364,1.59,36.26,-22.26,42.58
1.338233,1.78,36.45,-22.48,42.86
1.348136,1.82,36.43,-22.61,42.92
1.361025,1.84,36.51,-22.69,43.02
1.376321,1.80,36.38,-22.74,42.94
1.378885,1.86,36.39,-22.63,42.90
1.388703,1.84,36.28,-22.71,42.84
1.397965,1.88,36.41,-22.89,43.05
1.408107,1.86,36.39,-22.91,43.05
1.419504,1.78,36.32,-22.76,42.90
1.429511,1.84,36.38,-22.84,42.99
1.438540,1.82,36.43,-22.59,42.91
1.448132,1.80,36.56,-22.71,43.08
1.459907,1.58,36.62,-22.84,43.19
1.469660,1.69,36.77,-22.95,43.38
1.478836,1.71,36.71,-22.84,43.27
1.488519,1.73,36.75,-22.67,43.21
1.498542,1.50,36.84,-22.46,43.18
1.511064,1.63,36.75,-22.37,43.05
1.525942,1.59,36.77,-22.56,43.17
1.530176,1.37,36.56,-22.37,42.88
1.539033,1.41,36.73,-22.39,43.04
1.548151,1.18,36.62,-22.35,42.92
